日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2010-12-31,'000001,深发展Ａ,15.79,15.87,15.59,15.68,15.67,0.12,0.7658,0.7757,24089142,378317756.9,55028367302.0,49033907345.9
2010-12-31,'000002,万  科Ａ,8.22,8.24,8.08,8.14,8.15,0.07,0.8589,0.6648,64189546,524313290.77,90380627992.0,79372976860.2
2002-04-26,'000003,PT金田Ａ,2.71,2.71,2.71,2.71,2.58,0.13,5.0388,2.2901,4397205,11916425.55,702423279.22,520349278.84
2010-12-30,'000001,深发展Ａ,15.67,15.8,15.51,15.77,15.77,-0.1,-0.6341,0.5741,17826665,278979208.05,54610165650.5,48661262071.6
2010-12-30,'000002,万  科Ａ,8.15,8.3,8.04,8.27,8.3,-0.15,-1.8072,0.9838,94995195,773400426.55,89610963276.7,78697051266.5
2002-04-25,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0.0,0,0.0,668727697.56,495387874.32
2010-12-29,'000001,深发展Ａ,15.77,15.98,15.6,15.95,15.95,-0.18,-1.1285,0.7627,23683256,372484729.29,54958667026.7,48971799800.2
2010-12-29,'000002,万  科Ａ,8.3,8.41,8.17,8.37,8.33,-0.03,-0.3601,0.8415,81251732,672563588.58,91260244809.4,80145463253.0
2002-04-24,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0.0,0,0.0,668727697.56,495387874.32
2010-12-28,'000001,深发展Ａ,15.95,16.22,15.95,16.08,16.07,-0.12,-0.7467,0.8552,26556645,426320112.74,55585969503.9,49530767711.7
2010-12-28,'000002,万  科Ａ,8.33,8.86,8.3,8.72,8.75,-0.42,-4.8,0.9062,87505047,752995503.29,91590101115.9,80435145650.3
2002-04-23,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0.0,0,0.0,668727697.56,495387874.32
2010-12-27,'000001,深发展Ａ,16.07,16.73,16.02,16.62,16.44,-0.37,-2.2506,0.9939,30865798,505246602.81,56004171155.3,49903412986.0
2010-12-27,'000002,万  科Ａ,8.75,9.16,8.68,9.02,9.01,-0.26,-2.8857,1.4827,143175287,1286870348.75,96208089407.5,84490699212.5
2002-04-22,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0.0,0,0.0,668727697.56,495387874.32
2010-12-24,'000001,深发展Ａ,16.44,16.6,16.15,16.2,16.23,0.21,1.2939,0.9214,28612724,469742371.37,57293626247.3,51052402581.8
2010-12-24,'000002,万  科Ａ,9.01,9.2,8.8,8.84,8.84,0.17,1.9231,1.2216,117959578,1071510885.8,99066844064.2,87001279989.1
2002-04-19,'000003,PT金田Ａ,2.58,2.58,2.58,2.58,2.46,0.12,4.878,0.7354,1412175,3643411.5,668727697.56,495387874.32
2010-12-23,'000001,深发展Ａ,0.0,0.0,0.0,0.0,16.23,None,None,0.0,0,0.0,56561773357.3,50400273351.8
2010-12-23,'000002,万  科Ａ,8.84,9.06,8.8,8.95,9.0,-0.16,-1.7778,0.928,89606212,798955409.37,97197658327.1,85359746404.4
2002-04-18,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0.0,0,0.0,637624083.72,472346577.84
2010-12-22,'000001,深发展Ａ,16.23,16.63,16.2,16.61,16.57,-0.34,-2.0519,0.7311,22703588,371863955.86,56561773357.3,50400273351.8
2010-12-22,'000002,万  科Ａ,9.0,9.44,8.8,9.13,9.13,-0.13,-1.4239,2.1842,210910643,1933971176.19,98956891962.0,86904719190.0
2002-04-17,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0.0,0,0.0,637624083.72,472346577.84
2010-12-21,'000001,深发展Ａ,16.57,16.65,16.07,16.17,16.13,0.44,2.7278,0.9881,30685363,503881600.32,57746678036.3,51456101629.0
2010-12-21,'000002,万  科Ａ,9.13,9.13,8.3,8.3,8.3,0.83,10.0,3.0767,297087938,2625535129.95,1.0038626929e+11,88160009578.3
2002-04-16,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0.0,0,0.0,637624083.72,472346577.84
2010-12-20,'000001,深发展Ａ,16.13,16.44,15.99,16.39,16.35,-0.22,-1.3456,0.825,25620545,414236395.3,56213271981.1,50089735623.2
2010-12-20,'000002,万  科Ａ,8.3,8.54,8.21,8.45,8.4,-0.1,-1.1905,0.7061,68182788,571023462.98,91260244809.4,80145463253.0
2002-04-15,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0.0,0,0.0,637624083.72,472346577.84
2010-12-17,'000001,深发展Ａ,16.35,16.5,16.29,16.45,16.45,-0.1,-0.6079,0.5572,17302092,283291959.39,56979975008.7,50772918626.1
2010-12-17,'000002,万  科Ａ,8.4,8.47,8.31,8.45,8.43,-0.03,-0.3559,0.4535,43791861,367894132.68,92359765831.2,81111071244.0
2002-04-12,'000003,PT金田Ａ,2.46,2.46,2.46,2.46,2.34,0.12,5.1282,0.2588,496937,1222465.02,637624083.72,472346577.84
2010-12-16,'000001,深发展Ａ,16.45,16.72,16.43,16.62,16.59,-0.14,-0.8439,0.7102,22055606,365485606.38,57328476384.9,51083456354.7
2010-12-16,'000002,万  科Ａ,8.43,8.6,8.28,8.32,8.35,0.08,0.9581,1.0655,102888995,872608714.72,92689622137.7,81400753641.3
2002-04-11,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0.0,0,0.0,606520469.88,449305281.36
2010-12-15,'000001,深发展Ａ,16.59,16.8,16.51,16.6,16.54,0.05,0.3023,0.9058,28127659,467398010.27,57816378311.6,51518209174.7
2010-12-15,'000002,万  科Ａ,8.35,8.43,8.21,8.41,8.41,-0.06,-0.7134,0.5761,55627218,463065347.63,91810005320.3,80628267248.5
2002-04-10,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0.0,0,0.0,606520469.88,449305281.36
2010-12-14,'000001,深发展Ａ,16.54,16.65,16.48,16.62,16.62,-0.08,-0.4813,0.7649,23751670,392885302.87,57642127623.5,51362940310.4
2010-12-14,'000002,万  科Ａ,8.41,8.46,8.34,8.4,8.4,0.01,0.119,0.5121,49447303,415067332.42,92469717933.4,81207632043.1
2002-04-09,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0.0,0,0.0,606520469.88,449305281.36
2010-12-13,'000001,深发展Ａ,16.62,16.64,16.26,16.35,16.34,0.28,1.7136,0.9043,28080363,461224142.08,57920928724.4,51611370493.3
2010-12-13,'000002,万  科Ａ,8.4,8.5,8.13,8.2,8.1,0.3,3.7037,0.8641,83437339,690600554.6,92359765831.2,81111071244.0
2002-04-08,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0.0,0,0.0,606520469.88,449305281.36
2010-12-10,'000001,深发展Ａ,16.34,16.38,16.1,16.2,16.21,0.13,0.802,0.6387,19834112,322263495.04,56945124871.1,50741864853.2
2010-12-10,'000002,万  科Ａ,8.1,8.26,8.08,8.17,8.17,-0.07,-0.8568,0.8493,82011554,669900272.41,89061202765.8,78214247271.0
2002-04-05,'000003,PT金田Ａ,2.34,2.34,2.34,2.34,2.23,0.11,4.9327,0.2451,470662,1101349.08,606520469.88,449305281.36
2010-12-09,'000001,深发展Ａ,16.21,16.49,16.2,16.47,16.49,-0.28,-1.698,0.7738,24029374,391356109.23,56492073082.0,50338165806.1
2010-12-09,'000002,万  科Ａ,8.17,8.43,8.16,8.42,8.49,-0.32,-3.7691,0.7401,71464074,589993451.2,89830867481.1,78890172864.7
2002-04-04,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0.0,0,0.0,578008823.86,428184092.92
2010-12-08,'000001,深发展Ａ,16.49,16.74,16.45,16.7,16.73,-0.24,-1.4345,0.5567,17288608,286846722.94,57467876935.4,51207671446.1
2010-12-08,'000002,万  科Ａ,8.49,8.69,8.4,8.65,8.66,-0.17,-1.963,0.7229,69806395,595890267.53,93349334750.8,81980118435.9
2002-04-03,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0.0,0,0.0,578008823.86,428184092.92
2010-12-07,'000001,深发展Ａ,16.73,16.83,16.42,16.69,16.74,-0.01,-0.0597,0.6426,19954522,331262898.32,58304280238.3,51952961994.8
2010-12-07,'000002,万  科Ａ,8.66,8.68,8.36,8.45,8.49,0.17,2.0024,0.9019,87090848,747602757.73,95218520487.9,83621652020.6
2002-04-02,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0.0,0,0.0,578008823.86,428184092.92
2010-12-06,'000001,深发展Ａ,16.74,16.88,16.5,16.6,16.57,0.17,1.026,0.7018,21792398,364205387.11,58339130375.9,51984015767.6
2010-12-06,'000002,万  科Ａ,8.49,8.69,8.45,8.51,8.49,0.0,0.0,1.0173,98234524,844309419.2,93349334750.8,81980118435.9
2002-04-01,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0.0,0,0.0,578008823.86,428184092.92
2010-12-03,'000001,深发展Ａ,16.57,16.65,16.45,16.56,16.51,0.06,0.3634,0.5056,15700622,259727657.89,57746678036.3,51456101629.0
2010-12-03,'000002,万  科Ａ,8.49,8.59,8.29,8.34,8.27,0.22,2.6602,1.231,118865099,1008596452.51,93349334750.8,81980118435.9
2002-03-29,'000003,PT金田Ａ,2.23,2.23,2.23,2.23,2.12,0.11,5.1887,0.2323,446027,994640.21,578008823.86,428184092.92
2010-12-02,'000001,深发展Ａ,16.51,16.79,16.48,16.71,16.49,0.02,0.1213,0.6527,20269979,336507094.16,57537577210.6,51269778991.9
2010-12-02,'000002,万  科Ａ,8.27,8.41,8.26,8.32,8.22,0.05,0.6083,0.6461,62383603,520202476.15,90930388502.9,79855780855.7
2002-03-28,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0.0,0,0.0,549497177.84,407062904.48
2010-12-01,'000001,深发展Ａ,16.49,16.56,16.3,16.39,16.39,0.1,0.6101,0.4968,15427254,253584572.54,57467876935.4,51207671446.1
2010-12-01,'000002,万  科Ａ,8.22,8.23,8.05,8.13,8.13,0.09,1.107,0.4293,41453467,338381255.52,90380627992.0,79372976860.2
2002-03-27,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0.0,0,0.0,549497177.84,407062904.48
2010-11-30,'000001,深发展Ａ,16.39,16.79,16.18,16.65,16.72,-0.33,-1.9737,0.9101,28262144,464292196.29,57119375559.2,50897133717.5
2010-11-30,'000002,万  科Ａ,8.13,8.3,7.95,8.18,8.17,-0.04,-0.4896,0.8614,83175871,675567931.97,89391059072.3,78503929668.3
2002-03-26,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0.0,0,0.0,549497177.84,407062904.48
2010-11-29,'000001,深发展Ａ,16.72,16.88,16.48,16.59,16.69,0.03,0.1797,0.6461,20063995,333489669.32,58269430100.6,51921908221.9
2010-11-29,'000002,万  科Ａ,8.17,8.22,8.06,8.21,8.23,-0.06,-0.729,0.4291,41433906,337236670.6,89830867481.1,78890172864.7
2002-03-25,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0.0,0,0.0,549497177.84,407062904.48
2010-11-26,'000001,深发展Ａ,16.69,16.93,16.65,16.93,16.95,-0.26,-1.5339,0.7633,23703058,396929811.23,58164879687.8,51828746903.3
2010-11-26,'000002,万  科Ａ,8.23,8.37,8.15,8.36,8.4,-0.17,-2.0238,0.6947,67080549,553999543.63,90490580094.1,79469537659.3
2002-03-22,'000003,PT金田Ａ,2.12,2.12,2.12,2.12,2.02,0.1,4.9505,0.2627,504495,1069529.4,549497177.84,407062904.48
2010-11-25,'000001,深发展Ａ,16.95,17.12,16.6,16.81,16.76,0.19,1.1337,1.2332,38293999,645536540.14,59070983265.9,52636144997.7
2010-11-25,'000002,万  科Ａ,8.4,8.48,8.01,8.1,8.08,0.32,3.9604,1.3302,128442662,1066057584.24,92359765831.2,81111071244.0
2002-03-21,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0.0,0,0.0,523577499.64,387861824.08
2010-11-24,'000001,深发展Ａ,16.76,16.9,16.41,16.45,16.55,0.21,1.2689,1.0252,31836654,531391651.6,58408830651.1,52046123313.4
2010-11-24,'000002,万  科Ａ,8.08,8.12,7.92,7.98,7.92,0.16,2.0202,0.7976,77014545,619916507.61,88841298561.4,78021125672.8
2002-03-20,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0.0,0,0.0,523577499.64,387861824.08
2010-11-23,'000001,深发展Ａ,16.55,16.7,16.25,16.58,16.68,-0.13,-0.7794,1.0607,32938478,540215969.04,57676977761.1,51393994083.3
2010-11-23,'000002,万  科Ａ,7.92,8.08,7.89,8.01,8.09,-0.17,-2.1014,1.0524,101618805,810521671.2,87082064926.6,76476152887.2
2002-03-19,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0.0,0,0.0,523577499.64,387861824.08
2010-11-22,'000001,深发展Ａ,16.68,16.85,16.6,16.8,17.01,-0.33,-1.94,1.1383,35349870,591130267.91,58130029550.2,51797693130.5
2010-11-22,'000002,万  科Ａ,8.09,8.22,7.95,8.17,8.24,-0.15,-1.8204,1.2578,121450550,982136816.62,88951250663.6,78117686471.9
2002-03-18,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0.0,0,0.0,523577499.64,387861824.08
2010-11-19,'000001,深发展Ａ,17.01,17.22,16.59,17.2,17.18,-0.17,-0.9895,1.3944,43301461,730445040.96,59280084091.6,52822467634.9
2010-11-19,'000002,万  科Ａ,8.24,8.33,8.0,8.3,8.27,-0.03,-0.3628,0.9824,94864689,774931991.35,90600532196.3,79566098458.4
2002-03-15,'000003,PT金田Ａ,2.02,2.02,2.02,2.02,1.92,0.1,5.2083,0.271,520367,1051141.34,523577499.64,387861824.08
2010-11-18,'000001,深发展Ａ,17.18,17.27,16.85,16.93,16.8,0.38,2.2619,1.4083,43733956,745421239.41,59872536431.2,53350381773.5
